Exchange rate of (DOLLAR (USD))
since 01 Jan 2021 to 31 Dec 2021
(BAHT / 1 DOLLAR (USD))
Period|Buying Rates Sight Bill|Buying Rates Transfer|Average Selling Rates
30 Dec 2021|33.1533|33.2469|33.5929
29 Dec 2021|33.2906|33.3864|33.7441
28 Dec 2021|33.2695|33.3619|33.7119
27 Dec 2021|33.2103|33.3041|33.6524
24 Dec 2021|33.2573|33.3487|33.7126
23 Dec 2021|33.3513|33.4419|33.7747
22 Dec 2021|33.4513|33.5474|33.8924
21 Dec 2021|33.4460|33.5428|33.8629
20 Dec 2021|33.2224|33.3119|33.6341
17 Dec 2021|33.1231|33.2190|33.5746
16 Dec 2021|33.1557|33.2499|33.5980
15 Dec 2021|33.1395|33.2288|33.5957
14 Dec 2021|33.1341|33.2273|33.5809
13 Dec 2021|33.1751|33.2708|33.6154
09 Dec 2021|33.1515|33.2432|33.5815
08 Dec 2021|33.2735|33.3646|33.7102
07 Dec 2021|33.5583|33.6480|33.9825
03 Dec 2021|33.6565|33.7437|34.0754
02 Dec 2021|33.5141|33.6101|33.9470
01 Dec 2021|33.4340|33.5300|33.8768
30 Nov 2021|33.4278|33.5226|33.8569
29 Nov 2021|33.4450|33.5397|33.8892
26 Nov 2021|33.2636|33.3598|33.7017
25 Nov 2021|33.0544|33.1475|33.4829
24 Nov 2021|32.9913|33.0815|33.4162
23 Nov 2021|32.8006|32.8940|33.2230
22 Nov 2021|32.5797|32.6691|33.0170
19 Nov 2021|32.3493|32.4434|32.7918
18 Nov 2021|32.3562|32.4485|32.8050
17 Nov 2021|32.5100|32.6034|32.9360
16 Nov 2021|32.4707|32.5651|32.9009
15 Nov 2021|32.4377|32.5318|32.8847
12 Nov 2021|32.5482|32.6420|32.9764
11 Nov 2021|32.6211|32.7084|33.0443
10 Nov 2021|32.5316|32.6217|32.9499
09 Nov 2021|32.5449|32.6335|32.9728
08 Nov 2021|32.8490|32.9431|33.2860
05 Nov 2021|33.0780|33.1731|33.5082
04 Nov 2021|33.0867|33.1802|33.5269
03 Nov 2021|33.0648|33.1603|33.5091
02 Nov 2021|33.0319|33.1269|33.4685
01 Nov 2021|33.0988|33.2037|33.5527
29 Oct 2021|32.9153|33.0077|33.3532
28 Oct 2021|33.0470|33.1349|33.4808
27 Oct 2021|32.9729|33.0649|33.3952
26 Oct 2021|32.8188|32.9166|33.2501
25 Oct 2021|32.9367|33.0330|33.3847
21 Oct 2021|33.1078|33.2018|33.5518
20 Oct 2021|33.1563|33.2513|33.5927
19 Oct 2021|33.0834|33.1791|33.5216
18 Oct 2021|33.1676|33.2619|33.6167
15 Oct 2021|32.9718|33.0652|33.3946
14 Oct 2021|32.9693|33.0607|33.3940
12 Oct 2021|33.2485|33.3414|33.6679
11 Oct 2021|33.5432|33.6358|33.9733
08 Oct 2021|33.5991|33.6969|34.0472
07 Oct 2021|33.5487|33.6398|33.9831
06 Oct 2021|33.6004|33.6964|34.0374
05 Oct 2021|33.5507|33.6448|34.0005
04 Oct 2021|33.4244|33.5178|33.8700
01 Oct 2021|33.4788|33.5723|33.8983
30 Sep 2021|33.6589|33.7538|34.0908
29 Sep 2021|33.6005|33.6906|34.0433
28 Sep 2021|33.3991|33.4926|33.8344
27 Sep 2021|33.1344|33.2253|33.5669
23 Sep 2021|33.2371|33.3323|33.6865
22 Sep 2021|33.1476|33.2439|33.5971
21 Sep 2021|33.1377|33.2349|33.5863
20 Sep 2021|33.0834|33.1747|33.5396
17 Sep 2021|32.9128|33.0062|33.3457
16 Sep 2021|32.6390|32.7336|33.0836
15 Sep 2021|32.6726|32.7647|33.1047
14 Sep 2021|32.6423|32.7375|33.0858
13 Sep 2021|32.5133|32.6042|32.9551
10 Sep 2021|32.4394|32.5347|32.8858
09 Sep 2021|32.4804|32.5764|32.9189
08 Sep 2021|32.4939|32.5904|32.9410
07 Sep 2021|32.2306|32.3252|32.6584
06 Sep 2021|32.1871|32.2793|32.6298
03 Sep 2021|32.2384|32.3355|32.6737
02 Sep 2021|32.1349|32.2283|32.5577
01 Sep 2021|32.0395|32.1349|32.4677
31 Aug 2021|32.1264|32.2191|32.5521
30 Aug 2021|32.2638|32.3604|32.6924
27 Aug 2021|32.4677|32.5641|32.9070
26 Aug 2021|32.4993|32.5949|32.9441
25 Aug 2021|32.5975|32.6894|33.0458
24 Aug 2021|32.8801|32.9768|33.3247
23 Aug 2021|33.0532|33.1473|33.4960
20 Aug 2021|33.0719|33.1627|33.5109
19 Aug 2021|33.1245|33.2193|33.5590
18 Aug 2021|32.9503|33.0443|33.3844
17 Aug 2021|33.1509|33.2447|33.5892
16 Aug 2021|33.1020|33.1973|33.5527
13 Aug 2021|32.9571|33.0520|33.3927
11 Aug 2021|33.1380|33.2321|33.5761
10 Aug 2021|33.1888|33.2813|33.6532
09 Aug 2021|33.1554|33.2488|33.6135
06 Aug 2021|33.0659|33.1574|33.4957
05 Aug 2021|32.8781|32.9705|33.3039
04 Aug 2021|32.8059|32.8970|33.2601
03 Aug 2021|32.7058|32.8012|33.1506
02 Aug 2021|32.6667|32.7601|33.1192
30 Jul 2021|32.6203|32.7135|33.0900
29 Jul 2021|32.6210|32.7118|33.0553
27 Jul 2021|32.6264|32.7195|33.0652
23 Jul 2021|32.6494|32.7399|33.1107
22 Jul 2021|32.5659|32.6584|33.0169
21 Jul 2021|32.5821|32.6737|33.0248
20 Jul 2021|32.5620|32.6536|32.9954
19 Jul 2021|32.5913|32.6853|33.0360
16 Jul 2021|32.4695|32.5640|32.9090
15 Jul 2021|32.3678|32.4628|32.8076
14 Jul 2021|32.3785|32.4729|32.8272
13 Jul 2021|32.3613|32.4575|32.8054
12 Jul 2021|32.3425|32.4381|32.7851
09 Jul 2021|32.3914|32.4865|32.8155
