TABLE 6,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
OIL FUND LEVIED ON PETROLEUM PRODUCTS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,," UNIT: Baht/Litre",,
,OIL FUND,,,,,,,,,,,,,,,,
DATE,ULG,UGR,GASOHOL 95,,,GASOHOL 91,KI,HSD **,HSD **,HSD,HSD,LSD,FO,,LPG (B/Kg),,
,,,(E10),(E20),(E85),,,B7,,B20,B5,,(1500),LOW INCOME,COOKING,INDUSTRY,AUTOBILE
,,,,,,,,,,,,,,HOUSEHOLD,,,
2003,,,,,,,,,,,,,,,,,
AUG-4,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.4456,,
AUG-11,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.4447,,
AUG-18,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.39,,
AUG-25,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.3476,,
AVG,0.5,0.30000000000000004,0.27,,,,0.10000000000000002,0.5,,,,0.5,0.06,,-2.4071709677419357,,
SEP-1,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.2683,,
SEP-8,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.333,,
SEP-15,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.2598,,
SEP-22,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.2422,,
SEP-29,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.117,,
AVG,0.5,0.30000000000000004,0.27,,,,0.10000000000000002,0.5,,,,0.5,0.06,,-2.2652366666666666,,
OCT-6,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-1.4657,,
OCT-13,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-1.3565,,
OCT-20,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-1.4327,,
OCT-27,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-1.4798,,
AVG,0.5,0.30000000000000004,0.27,,,,0.10000000000000002,0.5,,,,0.5,0.06,,-1.5409129032258067,,
NOV-3,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.3686,,
NOV-10,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.3609,,
NOV-17,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.3606,,
NOV-24,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.3595,,
AVG,0.5,0.3,0.2700000000000001,,,,0.10000000000000002,0.5,,,,0.5,0.05999999999999999,,-2.3035599999999996,,
DEC-1,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.3605,,
DEC-5,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-1.42,,
DEC-8,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.7078,,
DEC-15,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.6768,,
DEC-22,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.6303,,
DEC-29,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.6191,,
AVG,0.5,0.3,0.27,,,,0.10000000000000002,0.5,,,,0.5,0.06,,-2.505277419354839,,
2004,,,,,,,,,,,,,,,,,
JAN-5,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.9353,,
JAN-12,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.7959,,
JAN-29,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.7387,,
JAN-26,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-2.7618,,
AVG,0.5,0.30000000000000004,0.27,,,,0.10000000000000002,0.5,,,,0.5,0.06,,-2.7850483870967744,,
FEB-2,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-3.2128,,
FEB-9,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-3.1811,,
FEB-16,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-3.1282,,
FEB-23,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-3.1546,,
AVG,0.5,0.3,0.2700000000000001,,,,0.1,0.5,,,,0.5,0.05999999999999999,,-3.1551275862068966,,
MAR-1,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-3.2249,,
MAR-8,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-0.6894,,
MAR-15,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-0.7019,,
MAR-22,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-0.7093,,
MAR-29,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-0.7275,,
AVG,0.5,0.30000000000000004,0.27,,,,0.10000000000000002,0.5,,,,0.5,0.06,,-1.2729354838709677,,
APR-5,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-1.7472,,
APR-12,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-1.6745,,
APR-19,0.5,0.3,0.27,,,,0.1,0.5,,,,0.5,0.06,,-1.7269,,
