date,station,fuel_type,effective_date,price
2021-01-01,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),24 Dec 05:00,22.75
2021-01-01,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),24 Dec 05:00,22.75
2021-01-01,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),28 Dec 05:00,22.75
2021-01-02,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),24 Dec 05:00,22.75
2021-01-02,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),24 Dec 05:00,22.75
2021-01-02,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),28 Dec 05:00,22.75
2021-01-03,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),24 Dec 05:00,22.75
2021-01-03,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),24 Dec 05:00,22.75
2021-01-03,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),28 Dec 05:00,22.75
2021-01-04,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),24 Dec 05:00,22.75
2021-01-04,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),24 Dec 05:00,22.75
2021-01-04,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),28 Dec 05:00,22.75
2021-01-05,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),24 Dec 05:00,22.75
2021-01-05,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),24 Dec 05:00,22.75
2021-01-05,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),28 Dec 05:00,22.75
2021-01-06,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),24 Dec 05:00,22.75
2021-01-06,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),24 Dec 05:00,22.75
2021-01-06,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),05 Jan 05:00,23.25
2021-01-07,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),06 Jan 05:00,23.25
2021-01-07,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),06 Jan 05:00,23.25
2021-01-07,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),05 Jan 05:00,23.25
2021-01-08,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),06 Jan 05:00,23.25
2021-01-08,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),06 Jan 05:00,23.25
2021-01-08,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),05 Jan 05:00,23.25
2021-01-09,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),06 Jan 05:00,23.25
2021-01-09,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),06 Jan 05:00,23.25
2021-01-09,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),08 Jan 05:00,23.55
2021-01-10,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),09 Jan 05:00,23.55
2021-01-10,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),09 Jan 05:00,23.55
2021-01-10,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),08 Jan 05:00,23.55
2021-01-11,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),09 Jan 05:00,23.55
2021-01-11,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),09 Jan 05:00,23.55
2021-01-11,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),08 Jan 05:00,23.55
2021-01-12,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),09 Jan 05:00,23.55
2021-01-12,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),09 Jan 05:00,23.55
2021-01-12,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),08 Jan 05:00,23.55
2021-01-13,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),12 Jan 05:00,24.05
2021-01-13,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),12 Jan 05:00,24.05
2021-01-13,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),12 Jan 05:00,24.05
2021-01-14,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),12 Jan 05:00,24.05
2021-01-14,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),12 Jan 05:00,24.05
2021-01-14,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),13 Jan 05:00,24.05
2021-01-15,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),14 Jan 05:00,24.05
2021-01-15,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),14 Jan 05:00,24.05
2021-01-15,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),13 Jan 05:00,24.05
2021-01-16,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),14 Jan 05:00,24.05
2021-01-16,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),14 Jan 05:00,24.05
2021-01-16,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),13 Jan 05:00,24.05
2021-01-17,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),16 Jan 05:00,24.45
2021-01-17,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),16 Jan 05:00,24.45
2021-01-17,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),16 Jan 05:00,24.45
2021-01-18,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),16 Jan 05:00,24.45
2021-01-18,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),16 Jan 05:00,24.45
2021-01-18,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),16 Jan 05:00,24.45
2021-01-19,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),16 Jan 05:00,24.45
2021-01-19,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),16 Jan 05:00,24.45
2021-01-19,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),16 Jan 05:00,24.45
2021-01-20,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-20,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-20,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-21,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-21,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-21,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-22,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-22,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-22,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-23,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-23,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-23,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-24,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-24,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-24,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-25,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-25,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-25,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-26,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-26,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-26,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-27,ปตท,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-27,บางจาก,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),19 Jan 05:00,24.25
2021-01-27,เชลล์,แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),26 Jan 05:00,24.55
